"scenario","pair","variant","frame","frame_ms","hud_cpu_ms","hud_upload_calls","shadow_draws"
"night_toggle_f3","2","before","270","4.916200","0.921000","0","0"
"night_toggle_f3","2","before","330","7.616100","4.034300","0","0"
"night_toggle_f3","2","before","390","6.467500","3.415200","0","0"
"night_toggle_f3","2","before","450","9.042400","2.487200","0","0"
"night_toggle_f3","2","before","510","4.316000","1.480500","0","0"
"night_toggle_f3","2","before","570","4.371400","1.801700","0","0"
"night_toggle_f3","3","before","30","4.415300","2.116700","0","0"
"night_toggle_f3","3","before","90","4.041800","1.150400","0","0"
"night_toggle_f3","3","before","150","4.526000","1.597400","0","0"
"night_toggle_f3","3","before","210","6.895900","2.528700","0","0"
"night_toggle_f3","3","before","270","6.052400","1.327200","0","0"
"night_toggle_f3","3","before","330","7.864600","2.861200","0","0"
"night_toggle_f3","3","before","390","7.594500","2.718900","0","0"
"night_toggle_f3","3","before","450","8.356200","1.152300","0","0"
"night_toggle_f3","3","before","510","3.875900","1.295600","0","0"
"night_toggle_f3","3","before","570","4.365100","1.544000","0","0"
"night_toggle_f3","3","after","30","5.716000","2.191300","21","0"
"night_toggle_f3","3","after","90","3.324800","1.433900","21","0"
"night_toggle_f3","3","after","150","4.654800","1.651600","21","0"
"night_toggle_f3","3","after","210","3.187300","0.795900","21","0"
"night_toggle_f3","3","after","270","3.918300","0.796500","21","0"
"night_toggle_f3","3","after","330","5.576600","1.635500","21","0"
"night_toggle_f3","3","after","390","3.361100","0.998300","21","0"
"night_toggle_f3","3","after","450","4.196500","1.856800","21","0"
"night_toggle_f3","3","after","510","2.875900","0.769100","21","0"
"night_toggle_f3","3","after","570","3.012600","1.068100","21","0"
